mut prob= 0,6
pop size= 50
tournament= 7

---Time reading file and creating Cities: 5.123275279998779 seconds ---

Calculating distances...
---Time Calculating distances: 0.05874156951904297 seconds ---

Searching for shortest way possible...
Calculating GA_loop
Creates the population:
Finished Creation of the population
Generation: 203, elapsed_time: 39.9 s, best route: 41084.27
Generation: 204, elapsed_time: 40.1 s, best route: 41084.27
Generation: 205, elapsed_time: 40.4 s, best route: 41041.60
Generation: 206, elapsed_time: 40.7 s, best route: 40996.05
Generation: 207, elapsed_time: 40.8 s, best route: 40996.05
Generation: 208, elapsed_time: 41.1 s, best route: 40953.37
Generation: 209, elapsed_time: 41.3 s, best route: 40953.37
Generation: 210, elapsed_time: 41.5 s, best route: 40953.37
Generation: 211, elapsed_time: 41.8 s, best route: 40816.72
Generation: 212, elapsed_time: 42.0 s, best route: 40816.72
Generation: 213, elapsed_time: 42.3 s, best route: 40776.82
Generation: 214, elapsed_time: 42.5 s, best route: 40764.05
Generation: 215, elapsed_time: 42.7 s, best route: 40764.05
Generation: 216, elapsed_time: 43.0 s, best route: 40453.55
Generation: 217, elapsed_time: 43.3 s, best route: 40373.97
Generation: 218, elapsed_time: 43.6 s, best route: 40270.57
Generation: 219, elapsed_time: 43.8 s, best route: 40230.89
Generation: 220, elapsed_time: 44.1 s, best route: 40230.89
Generation: 221, elapsed_time: 44.3 s, best route: 40230.89
Generation: 222, elapsed_time: 44.5 s, best route: 40230.89
Generation: 223, elapsed_time: 44.7 s, best route: 40230.89
Generation: 224, elapsed_time: 44.9 s, best route: 40230.89
Generation: 225, elapsed_time: 45.1 s, best route: 40230.89
Generation: 226, elapsed_time: 45.4 s, best route: 40176.23
Generation: 227, elapsed_time: 45.7 s, best route: 40164.17
Generation: 228, elapsed_time: 45.9 s, best route: 40164.17
Generation: 229, elapsed_time: 46.1 s, best route: 40164.17
Generation: 230, elapsed_time: 46.4 s, best route: 39994.71
Generation: 231, elapsed_time: 46.6 s, best route: 39994.71
Generation: 232, elapsed_time: 46.8 s, best route: 39994.71
Generation: 233, elapsed_time: 47.1 s, best route: 39970.53
Generation: 234, elapsed_time: 47.3 s, best route: 39945.76
Generation: 235, elapsed_time: 47.5 s, best route: 39945.76
Generation: 236, elapsed_time: 47.8 s, best route: 39923.12
Generation: 237, elapsed_time: 48.0 s, best route: 39923.12
Generation: 238, elapsed_time: 48.2 s, best route: 39802.54
Generation: 239, elapsed_time: 48.5 s, best route: 39534.11
Generation: 240, elapsed_time: 48.8 s, best route: 39315.02
